velFL, velFR, velBL, velBR
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0.0011704, 0, 0, 0, 
0, 0.00114789, 0, 0, 
0, 0.0011704, 0, 0, 
0, 0, 0, 0.00234079, 
0, 0, 0, 0, 
0.00234079, 0, 0, 0, 
0, 0.00114789, 0.00229578, 0, 
0, 0.0011704, 0, 0.00234079, 
0, 0, 0, 0, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0.00234079, 
0, 0, 0, 0, 
0.00234079, 0.0011704, 0.00234079, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0, 
0, 0, 0, 0.00229578, 
0.00234079, 0.0011704, 0.00234079, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0.00234079, 
0.00114789, 0, 0, 0, 
0.0011704, 0.00234079, 0.00234079, 0.0011704, 
0.0011704, 0, 0, 0.0011704, 
0.0011704, 0.00234079, 0, 0, 
0, 0, 0, 0.00234079, 
0.00229578, 0.00229578, 0.00229578, 0, 
0, 0, 0, 0.00234079, 
0.00234079, 0.0011704, 0, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0.0011704, 0.00234079, 0, 
0, 0.00114789, 0, 0.00229578, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0.00234079, 
0.00234079, 0, 0.00234079, 0, 
0, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00114789, 0, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0, 0.00234079, 0, 
0, 0.00234079, 0, 0.00234079, 
0.00234079, 0.0011704, 0, 0, 
0, 0.00114789, 0, 0.00229578, 
