time, velFL, velFR, velBL, velBR
0, 0, 0, 0, 0
0.0200591, 0, 0, 0, 0
0.040051, 0, 0, 0, 0
0.059993, 0, 0, 0, 0
0.079999, 0, 0, 0, 0
0.10002, 0, 0, 0, 0
0.119996, 0, 0, 0, 0
0.139999, 0, 0, 0, 0
0.159988, 0, 0, 0, 0
0.179994, 0, 0, 0, 0
0.199994, 0, 0, 0, 0
0.219999, 0, 0, 0, 0
0.239991, 0, 0, 0, 0
0.259981, 0, 0, 0, 0
0.280001, 0, 0, 0, 0
0.299991, 0, 0, 0, 0
0.319986, 0, 0, 0, 0
0.339954, 0, 0, 0, 0
0.359989, 0, 0, 0, 0
0.379986, 0, 0, 0, 0
0.400019, 0, 0, 0, 0
0.419993, 0, 0, 0, 0
0.440006, 0, 0, 0, 0
0.460054, 0, 0, 0, 0
0.480026, 0, 0, 0, 0
0.500038, 0, 0, 0, 0
0.520011, 0, 0, 0, 0
0.539995, 0, 0, 0, 0
0.559986, 0, 0, 0, 0
0.579999, 0, 0, 0, 0
0.599992, 0, 0, 0, 0
0.62, 0, 0, 0, 0
0.640003, 0, 0, 0, 0
0.660004, 0, 0, 0, 0
0.680042, 0, 0, 0, 0
0.700014, 0, 0, 0, 0
0.720047, 0, 0, 0, 0
0.740017, 0, 0, 0, 0
0.76, 0, 0, 0, 0
0.779993, 0, 0, 0, 0
0.800026, 0, 0, 0, 0
0.819991, 0, 0, 0, 0
0.839999, 0, 0, 0, 0
0.860002, 0, 0, 0, 0
0.879989, 0, 0, 0, 0
0.89999, 0, 0, 0, 0
0.919995, 0, 0, 0, 0
0.94002, 0, 0, 0, 0
0.960122, 0, 0, 0, 0
0.980036, 0, 0, 0, 0
1.00001, 0, 0, 0, 0
1.02, 0, 0, 0, 0
1.03998, 0, 0, 0, 0
1.05999, 0, 0, 0, 0
1.08002, 0, 0, 0, 0
1.10001, 0, 0, 0, 0
1.12, 0, 0, 0, 0
1.13999, 0, 0, 0, 0
1.16003, 0, 0, 0, 0
1.18006, 0, 0, 0, 0
1.20002, 0, 0, 0, 0
1.22004, 0, 0, 0, 0
1.24002, 0, 0, 0, 0
1.26002, 0, 0, 0, 0
1.27999, 0, 0, 0, 0
1.29999, 0, 0, 0, 0
1.31999, 0, 0, 0, 0
1.34007, 0, 0, 0, 0
