t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.0766168, 0.0766168, 9.69202, 0.00213059, -0.0010653, -0.00745708, 0.00760354, 0.00627485, 0.937171, 0.348732
0.0119975, 0.0909824, 0.0766168, 9.67766, 0.00426119, -0, -0.0117183, 0.0075901, 0.00622592, 0.936987, 0.349226
0.0180523, 0.0909824, 0.105348, 9.70639, 0.00532648, -0, -0.010653, 0.00761015, 0.00626683, 0.936802, 0.34972
0.0299716, 0.095771, 0.0718282, 9.66808, 0, -0.0010653, -0.00745708, 0.00759696, 0.00621755, 0.936601, 0.350259
0.0419805, 0.0622511, 0.110137, 9.69202, 0.00532648, -0.00319589, -0.00958767, 0.00760024, 0.00621354, 0.936417, 0.350753
0.0480568, 0.0622511, 0.0622511, 9.68245, 0.00319589, -0, -0.0127836, 0.00760322, 0.0062099, 0.936248, 0.351202
0.0599902, 0.0909824, 0.105348, 9.64893, 0.00532648, -0.00213059, -0.00745708, 0.00765136, 0.00618902, 0.936063, 0.351695
0.0719755, 0.0622511, 0.095771, 9.72554, 0.00639178, 0.0010653, -0.00745708, 0.00762665, 0.00624674, 0.935877, 0.352189
0.078054, 0.0383084, 0.0861939, 9.68245, 0.00426119, -0.00426119, -0.00745708, 0.00762994, 0.00624272, 0.935691, 0.352682
0.0899842, 0.095771, 0.052674, 9.71597, 0.00745708, -0.0010653, -0.00745708, 0.00767778, 0.00622212, 0.935522, 0.35313
0.102105, 0.052674, 0.10056, 9.74949, 0.00532648, -0, -0.00958767, 0.00763622, 0.00623503, 0.935336, 0.353624
0.108066, 0.052674, 0.0814053, 9.72554, 0.00426119, -0, -0.00852238, 0.00763951, 0.006231, 0.935149, 0.354117
0.119986, 0.0670397, 0.105348, 9.69681, 0.00639178, -0.00213059, -0.00639178, 0.00764279, 0.00622697, 0.934962, 0.35461
0.131945, 0.052674, 0.114925, 9.66329, 0.00532648, -0.0010653, -0.010653, 0.00764607, 0.00622294, 0.934775, 0.355103
0.138042, 0.114925, 0.0478855, 9.69681, 0.00319589, -0.0010653, -0.00745708, 0.00764935, 0.00621891, 0.934588, 0.355596
0.149991, 0.0622511, 0.0861939, 9.70639, 0.00213059, -0.00213059, -0.010653, 0.00765293, 0.00621451, 0.934383, 0.356134
0.16197, 0.0861939, 0.0814053, 9.69681, 0.00426119, -0, -0.00852238, 0.00765621, 0.00621047, 0.934195, 0.356626
0.168066, 0.0670397, 0.119714, 9.65372, 0.00639178, -0, -0.00852238, 0.00765948, 0.00620643, 0.934007, 0.357119
0.179973, 0.0814053, 0.110137, 9.69681, 0.00426119, 0.0010653, -0.00852238, 0.00766275, 0.00620239, 0.933818, 0.357611
0.191966, 0.105348, 0.0622511, 9.66808, 0.00852238, -0.00639178, -0.00745708, 0.00772794, 0.00622594, 0.933629, 0.358103
0.198062, 0.0430969, 0.10056, 9.66329, 0.00319589, 0.0010653, -0.00958767, 0.00768678, 0.00623869, 0.933423, 0.35864
0.209991, 0.134079, 0.119714, 9.68724, 0.00426119, -0.00319589, -0.00745708, 0.0077348, 0.00621741, 0.933234, 0.359132
0.222003, 0.0718282, 0.105348, 9.66808, 0.00213059, -0, -0.00852238, 0.00773808, 0.00621334, 0.933044, 0.359624
0.228025, 0.119714, 0.0909824, 9.73991, 0.00532648, -0.00426119, -0.00745708, 0.00774136, 0.00620925, 0.932855, 0.360116
0.240019, 0.0909824, 0.119714, 9.67287, 0.00426119, -0, -0.00958767, 0.00778963, 0.00618751, 0.932647, 0.360652
0.251999, 0.138868, 0.0718282, 9.7016, 0.00426119, -0, -0.00639178, 0.00779319, 0.00618302, 0.93244, 0.361189
