time, velFL, velFR, velBL, velBR
0, 0, 0, 0, 0
0.0200088, 0, 0, 0, 0
0.0400369, 0, 0, 0, 0
0.0599959, 0, 0, 0, 0
0.080025, 0, 0, 0, 0
0.100098, 0, 0, 0, 0
0.12005, 0, 0, 0, 0
0.140005, 0, 0, 0, 0
0.159999, 0, 0, 0, 0
0.17999, 0, 0, 0, 0
0.199993, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.240002, 0, 0, 0, 0
0.260005, 0, 0, 0, 0
0.279997, 0, 0, 0, 0
0.299994, 0, 0, 0, 0
0.319985, 0, 0, 0, 0
0.340079, 0, 0, 0, 0
0.360059, 0, 0, 0, 0
0.380004, 0, 0, 0, 0
0.400019, 0, 0, 0, 0
0.420003, 0, 0, 0, 0
0.440005, 0, 0, 0, 0
0.459993, 0, 0, 0, 0
0.479995, 0, 0, 0, 0
0.499999, 0, 0, 0, 0
0.520054, 0, 0, 0, 0
0.54, 0, 0, 0, 0
0.560064, 0, 0, 0, 0
0.58024, 0, 0, 0, 0
0.600098, 0, 0, 0, 0
0.620089, 0, 0, 0, 0
0.640061, 0, 0, 0, 0
0.660005, 0, 0, 0, 0
0.680003, 0, 0, 0, 0
0.700043, 0, 0, 0, 0
0.720006, 0, 0, 0, 0
0.740005, 0, 0, 0, 0
0.760013, 0, 0, 0, 0
0.780012, 0, 0, 0, 0
0.800007, 0, 0, 0, 0
0.820046, 0, 0, 0, 0
0.840002, 0, 0, 0, 0
0.859992, 0, 0, 0, 0
0.879993, 0, 0, 0, 0
0.900019, 0, 0, 0, 0
0.920005, 0, 0, 0, 0
0.940056, 0, 0, 0, 0
0.96005, 0, 0, 0, 0
0.980016, 0, 0, 0, 0
1.00013, 0, 0, 0, 0
1.0201, 0, 0, 0, 0
1.04004, 0, 0, 0, 0
1.0601, 0, 0, 0, 0
1.08013, 0, 0, 0, 0
1.10006, 0, 0, 0, 0
1.12008, 0, 0, 0, 0
1.14006, 0, 0, 0, 0
1.15999, 0, 0, 0, 0
1.18006, 0, 0, 0, 0
1.20005, 0, 0, 0, 0
1.22006, 0, 0, 0, 0
1.24008, 0, 0, 0, 0
1.25999, 0, 0, 0, 0
1.28003, 0, 0, 0, 0
1.30005, 0, 0, 0, 0
1.32, 0, 0, 0, 0
1.34006, 0, 0, 0, 0
1.36004, 0, 0, 0, 0
1.38001, 0, 0, 0, 0
1.40002, 0, 0, 0, 0
1.42002, 0, 0, 0, 0
1.44001, 0, 0, 0, 0
1.46002, 0, 0, 0, 0
1.48008, 0, 0, 0, 0
1.5, 0, 0, 0, 0
1.52, 0, 0, 0, 0
1.54001, 0, 0, 0, 0
1.56, 0, 0, 0, 0
1.57999, 0, 0, 0, 0
1.60006, 0, 0, 0, 0
1.61999, 0, 0, 0, 0
1.64001, 0, 0, 0, 0
1.65999, 0, 0, 0, 0
1.67999, 0, 0, 0, 0
1.70001, 0, 0, 0, 0
1.72, 0, 0, 0, 0
1.74, 0, 0, 0, 0
1.75999, 0, 0, 0, 0
1.78, 0, 0, 0, 0
1.8, 0, 0, 0, 0
1.82002, 0, 0, 0, 0
1.84002, 0, 0, 0, 0
1.86, 0, 0, 0, 0
1.87999, 0, 0, 0, 0
1.90001, 0, 0, 0, 0
1.92001, 0, 0, 0, 0
1.94, 0, 0, 0, 0
1.96016, 0, 0, 0, 0
1.98003, 0, 0, 0, 0
2.00005, 0, 0, 0, 0
2.02014, 0, 0, 0, 0
2.04016, 0, 0, 0, 0
2.06005, 0, 0, 0, 0
2.08017, 0, 0, 0, 0
2.10003, 0, 0, 0, 0
2.12014, 0, 0, 0, 0
2.14008, 0, 0, 0, 0
2.16, 0, 0, 0, 0
2.18003, 0, 0, 0, 0
2.2, 0, 0, 0, 0
2.21997, 0, 0, 0, 0
2.24005, 0, 0, 0, 0
2.26021, 0, 0, 0, 0
2.28, 0, 0, 0, 0
2.29999, 0, 0, 0, 0
2.32001, 0, 0, 0, 0
2.34002, 0, 0, 0, 0
2.36001, 0, 0, 0, 0
2.38004, 0, 0, 0, 0
2.4, 0, 0, 0, 0
2.41998, 0, 0, 0, 0
2.44004, 0, 0, 0, 0
2.46007, 0, 0, 0, 0
2.48006, 0, 0, 0, 0
2.49999, 0, 0, 0, 0
2.51998, 0, 0, 0, 0
2.54, 0, 0, 0, 0
2.56001, 0, 0, 0, 0
2.57999, 0, 0, 0, 0
2.60003, 0, 0, 0, 0
2.62006, 0, 0, 0, 0
2.63998, 0, 0, 0, 0
2.65997, 0, 0, 0, 0
2.68, 0, 0, 0, 0
2.69998, 0, 0, 0, 0
2.71999, 0, 0, 0, 0
2.73999, 0, 0, 0, 0
2.76, 0, 0, 0, 0
2.77999, 0, 0, 0, 0
2.80008, 0, 0, 0, 0
2.82, 0, 0, 0, 0
2.84003, 0, 0, 0, 0
2.86013, 0, 0, 0, 0
2.88009, 0, 0, 0, 0
2.89999, 0, 0, 0, 0
2.92002, 0, 0, 0, 0
2.93999, 0, 0, 0, 0
2.96001, 0, 0, 0, 0
2.98, 0, 0, 0, 0
3.00001, 0, 0, 0, 0
3.02001, 0, 0, 0, 0
3.04007, 0, 0, 0, 0
3.06001, 0, 0, 0, 0
3.08004, 0, 0, 0, 0
3.10013, 0, 0, 0, 0
3.12008, 0, 0, 0, 0
3.14006, 0, 0, 0, 0
3.15999, 0, 0, 0, 0
3.18005, 0, 0, 0, 0
3.20005, 0, 0, 0, 0
3.22002, 0, 0, 0, 0
3.24001, 0, 0, 0, 0
3.26001, 0, 0, 0, 0
3.28, 0, 0, 0, 0
3.30001, 0, 0, 0, 0
3.32001, 0, 0, 0, 0
3.34002, 0, 0, 0, 0
3.36002, 0, 0, 0, 0
3.38002, 0, 0, 0, 0
3.40001, 0, 0, 0, 0
3.41999, 0, 0, 0, 0
3.44001, 0, 0, 0, 0
3.46001, 0, 0, 0, 0
3.48002, 0, 0, 0, 0
3.50001, 0, 0, 0, 0
3.52, 0, 0, 0, 0
3.54, 0, 0, 0.466414, 0
3.55997, 0, 0, 0.466414, 0
3.58002, 0, 0, 0.466414, 0
3.6, 0, 0, 0.466414, 0
3.61999, 0, 0, 0.466414, 0
3.64009, 0, 0, 0.466414, 0
3.65999, 0, 0, 0.466414, 0
3.68, 0, 0, 0.466414, 0
3.69994, 0, 0, 0.466414, 0
3.72, 0, 0, 0.466414, 0
3.74, 0, 0, 0.466414, 0
3.76018, 0, 0, 0.466414, 0
3.78003, 0.233132, 0, 0, 0
3.80001, 0.233132, 0, 0, 0
3.81998, 0.233132, 0, 0, 0
3.84, 0.233132, 0, 0, 0
3.86003, 0.233132, 0, 0, 0
3.8801, 0.233132, 0, 0, 0
3.90013, 0.233132, 0, 0, 0
3.92003, 0.233132, 0, 0, 0
3.94001, 0.233132, 0, 0, 0
3.96002, 0.233132, 0, 0, 0
3.98, 0.233132, 0, 0, 0
4, 0.233132, 0, 0, 0
4.01999, 0.233132, 0, 0, 0
4.04001, 0.233158, 0.466316, 0, 0.466316
4.06003, 0.233158, 0.466316, 0, 0.466316
4.08009, 0.233158, 0.466316, 0, 0.466316
4.10008, 0.233158, 0.466316, 0, 0.466316
4.12013, 0.233158, 0.466316, 0, 0.466316
4.14005, 0.233158, 0.466316, 0, 0.466316
4.16, 0.233158, 0.466316, 0, 0.466316
4.17999, 0.233158, 0.466316, 0, 0.466316
4.20006, 0.233158, 0.466316, 0, 0.466316
4.21999, 0.233158, 0.466316, 0, 0.466316
4.24001, 0.233158, 0.466316, 0, 0.466316
4.26, 0.233158, 0.466316, 0, 0.466316
4.28, 0.233158, 0.466316, 0, 0.466316
4.30009, 0.466199, 0, 0, 0.233099
4.32001, 0.466199, 0, 0, 0.233099
4.33999, 0.466199, 0, 0, 0.233099
4.36004, 0.466199, 0, 0, 0.233099
4.38, 0.466199, 0, 0, 0.233099
4.40003, 0.466199, 0, 0, 0.233099
4.42012, 0.466199, 0, 0, 0.233099
4.44005, 0.466199, 0, 0, 0.233099
4.45999, 0.466199, 0, 0, 0.233099
4.48, 0.466199, 0, 0, 0.233099
4.5, 0, 0.574401, 0.574401, 0.2872
