t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.0095771, -0.052674, 9.73991, 0.00319589, -0.00639178, -0.00852238, 0.00180653, -0.00350305, -0.238092, 0.971235
0.01197, -0.0095771, -0.0383084, 9.73512, 0.00319589, 0.0010653, -0.00958767, 0.00180653, -0.00350305, -0.238092, 0.971235
0.0180264, 0.00478855, -0.0095771, 9.72076, 0.00319589, -0.0010653, -0.00958767, 0.00180636, -0.00350314, -0.238139, 0.971223
0.0299771, 0.0191542, -0, 9.69681, 0.00426119, -0, -0.00958767, 0.00180636, -0.00350314, -0.238139, 0.971223
0.0419734, 0.0430969, -0.0095771, 9.71118, 0.00532648, -0, -0.00745708, 0.00180636, -0.00350314, -0.238139, 0.971223
0.047991, 0.0287313, -0.0287313, 9.6585, 0.00532648, -0.0010653, -0.00745708, 0.00181778, -0.00345658, -0.238139, 0.971223
0.0600007, 0.0239427, -0.0095771, 9.67766, 0.00532648, -0.00426119, -0.00958767, 0.00185292, -0.00351455, -0.238139, 0.971223
0.0719755, 0.0095771, -0.0191542, 9.67766, 0.00213059, -0.0010653, -0.00958767, 0.00185309, -0.00351446, -0.238092, 0.971234
0.0779965, 0.00478855, -0.0478855, 9.75906, 0.00639178, -0.0010653, -0.0117183, 0.00181795, -0.00345649, -0.238093, 0.971235
0.0899727, 0.0191542, -0.0430969, 9.64893, 0.0010653, -0.0010653, -0.0117183, 0.00181778, -0.00345658, -0.238139, 0.971223
0.101985, 0.0430969, -0.0095771, 9.75428, 0.00426119, -0, -0.00745708, 0.00181795, -0.00345649, -0.238093, 0.971235
0.107984, 0.0191542, -0.0095771, 9.73991, 0.00426119, -0.00213059, -0.0117183, 0.00181795, -0.00345649, -0.238093, 0.971235
0.119976, 0.0287313, -0, 9.70639, 0.00532648, -0.00213059, -0.00745708, 0.00186434, -0.00346799, -0.238139, 0.971223
0.131988, 0.0191542, -0.0383084, 9.66808, 0.00745708, -0.00639178, -0.00852238, 0.00186434, -0.00346799, -0.238139, 0.971223
0.138079, 0.0095771, -0.0622511, 9.67766, 0.00532648, 0.00319589, -0.00639178, 0.0018645, -0.0034679, -0.238092, 0.971235
0.149991, 0.0430969, -0.0095771, 9.74949, 0.0010653, -0.00745708, -0.00958767, 0.00186434, -0.00346799, -0.238139, 0.971223
0.161982, 0, 0.0095771, 9.71118, 0.00532648, 0.0010653, -0.00745708, 0.00186417, -0.00346808, -0.238186, 0.971212
0.167986, 0.0191542, -0.0335198, 9.70639, 0.00532648, -0, -0.00958767, 0.00186401, -0.00346817, -0.238232, 0.9712
0.179976, 0.0239427, -0.0335198, 9.76385, 0.00213059, -0.00426119, -0.00958767, 0.00186384, -0.00346826, -0.238279, 0.971189
0.191972, -0.0095771, -0.0335198, 9.6585, 0.00426119, 0.00213059, -0.00958767, 0.00186384, -0.00346826, -0.238279, 0.971189
