time, velFL, velFR, velBL, velBR
0, 0, 0, 0, 0
0.020071, 0, 0, 0, 0
0.039978, 0, 0, 0, 0
0.0599821, 0, 0, 0, 0
0.0799639, 0, 0, 0, 0
0.0999689, 0, 0, 0, 0
0.119981, 0, 0, 0, 0
0.139973, 0, 0, 0, 0
0.159955, 0, 0, 0, 0
0.179893, 0, 0, 0, 0
0.199971, 0, 0, 0, 0
0.21997, 0, 0, 0, 0
0.239969, 0, 0, 0, 0
0.260009, 0, 0, 0, 0
0.279989, 0, 0, 0, 0
0.300027, 0, 0, 0, 0
0.319967, 0, 0, 0, 0
0.339957, 0, 0, 0, 0
0.359969, 0, 0, 0, 0
0.379961, 0, 0, 0, 0
0.399977, 0, 0, 0, 0
0.419981, 0, 0, 0, 0
0.439959, 0, 0, 0, 0
0.459962, 0, 0, 0, 0
0.47996, 0, 0, 0, 0
0.500026, 0, 0, 0, 0
0.520061, 0, 0, 0, 0
0.540016, 0, 0, 0, 0
0.559979, 0, 0, 0, 0
0.579998, 0, 0, 0, 0
0.599987, 0, 0, 0, 0
0.619974, 0, 0, 0, 0
0.639971, 0, 0, 0, 0
0.659973, 0, 0, 0, 0
0.679966, 0, 0, 0, 0
0.69997, 0, 0, 0, 0
0.719971, 0, 0, 0, 0
0.739955, 0, 0, 0, 0
0.759986, 0, 0, 0, 0
0.779971, 0, 0, 0, 0
0.799987, 0, 0, 0, 0
0.819972, 0, 0, 0, 0
0.839957, 0, 0, 0, 0
0.859999, 0, 0, 0, 0
0.879981, 0, 0, 0, 0
0.899989, 0, 0, 0, 0
0.919968, 0, 0, 0, 0
0.939968, 0, 0, 0, 0
0.959981, 0, 0, 0, 0
0.979953, 0, 0, 0, 0
0.999999, 0, 0, 0, 0
1.01997, 0, 0, 0, 0
1.03995, 0, 0, 0, 0
1.06006, 0, 0, 0, 0
1.08005, 0, 0, 0, 0
1.10007, 0, 0, 0, 0
1.12003, 0, 0, 0, 0
1.13997, 0, 0, 0, 0
1.15996, 0, 0, 0, 0
1.17996, 0, 0, 0, 0
1.19999, 0, 0, 0, 0
1.21998, 0, 0, 0, 0
1.23998, 0, 0, 0, 0
1.26004, 0, 0, 0, 0
1.27998, 0, 0, 0, 0
1.29999, 0, 0, 0, 0
1.31995, 0, 0, 0, 0
1.34, 0, 0, 0, 0
1.36002, 0, 0, 0, 0
1.38012, 0, 0, 0, 0
1.39998, 0, 0, 0, 0
1.41998, 0, 0, 0, 0
1.43998, 0, 0, 0, 0
1.45997, 0, 0, 0, 0
1.47996, 0, 0, 0, 0
1.50005, 0, 0, 0, 0
1.52006, 0, 0, 0, 0
1.54002, 0, 0, 0, 0
1.55998, 0, 0, 0, 0
1.57997, 0, 0, 0, 0
1.6, 0, 0, 0, 0
1.61999, 0, 0, 0, 0
1.63996, 0, 0, 0, 0
1.65996, 0, 0, 0, 0
1.67997, 0, 0, 0, 0
1.69997, 0, 0, 0, 0
1.72003, 0, 0, 0, 0
1.74006, 0, 0, 0, 0
1.76001, 0, 0, 0, 0
1.77998, 0, 0, 0, 0
1.8, 0, 0, 0, 0
1.82002, 0, 0, 0, 0
1.83998, 0, 0, 0, 0
1.86001, 0, 0, 0, 0
1.87998, 0, 0, 0, 0
1.89998, 0, 0, 0, 0
1.92, 0, 0, 0, 0
1.93998, 0, 0, 0, 0
1.95996, 0, 0, 0, 0
1.97998, 0, 0, 0, 0
2.00013, 0, 0, 0, 0
2.02003, 0, 0, 0, 0
2.03997, 0, 0, 0, 0
2.06001, 0, 0, 0, 0
2.07996, 0, 0, 0, 0
2.10002, 0, 0, 0, 0
2.11999, 0, 0, 0, 0
2.13997, 0, 0, 0, 0
2.15996, 0, 0, 0, 0
2.17998, 0, 0, 0, 0
2.19997, 0, 0, 0, 0
2.21997, 0, 0, 0, 0
2.24, 0, 0, 0, 0
2.25997, 0, 0, 0, 0
2.27996, 0, 0, 0, 0
2.29997, 0, 0, 0, 0
2.32, 0, 0, 0, 0
2.33997, 0, 0, 0, 0
2.35996, 0, 0, 0, 0
2.37997, 0, 0, 0, 0
2.39999, 0, 0, 0, 0
2.41997, 0, 0, 0, 0
2.43996, 0, 0, 0, 0
2.45997, 0, 0, 0, 0
2.47997, 0, 0, 0, 0
2.50002, 0, 0, 0, 0
2.52006, 0, 0, 0, 0
2.54004, 0, 0, 0, 0
2.56002, 0, 0, 0, 0
2.57997, 0, 0, 0, 0
2.59997, 0, 0, 0, 0
2.61997, 0, 0, 0, 0
2.63999, 0, 0, 0, 0
2.65997, 0, 0, 0, 0
2.67997, 0, 0, 0, 0
2.69997, 0, 0, 0, 0
2.71999, 0, 0, 0, 0
2.73995, 0, 0, 0, 0
2.75997, 0, 0, 0, 0
2.78001, 0, 0, 0, 0
2.79998, 0, 0, 0, 0
2.81998, 0, 0, 0, 0
2.84001, 0, 0, 0, 0
2.85998, 0, 0, 0, 0
2.87996, 0, 0, 0, 0
2.89997, 0, 0, 0, 0
2.91997, 0, 0, 0, 0
2.94, 0, 0, 0, 0
2.96015, 0, 0, 0, 0
2.98, 0, 0, 0, 0
2.99999, 0, 0, 0, 0
3.01993, 0, 0, 0, 0
3.03996, 0, 0, 0, 0
3.05997, 0, 0, 0, 0
3.07996, 0, 0, 0, 0
3.09996, 0, 0, 0, 0
3.11998, 0, 0, 0, 0
3.13997, 0, 0, 0, 0
3.15998, 0, 0, 0, 0
3.17997, 0, 0, 0, 0
3.19999, 0, 0, 0, 0
3.21996, 0, 0, 0, 0
3.23997, 0, 0, 0, 0
3.25998, 0, 0, 0, 0
3.27998, 0, 0, 0, 0
3.30005, 0, 0, 0, 0
3.32008, 0, 0, 0, 0
3.34008, 0, 0, 0, 0
3.36003, 0, 0, 0, 0
3.37997, 0, 0, 0, 0
3.39999, 0, 0, 0, 0
3.41998, 0, 0, 0, 0
3.44, 0, 0, 0, 0
3.45997, 0, 0, 0, 0
3.47997, 0, 0, 0, 0
3.50004, 0, 0, 0, 0
3.52007, 0, 0, 0, 0
3.54004, 0, 0, 0, 0
3.56, 0, 0, 0, 0
3.57996, 0, 0, 0, 0
3.60001, 0, 0, 0, 0
3.61998, 0, 0, 0, 0
3.63996, 0, 0, 0, 0
3.65997, 0, 0, 0, 0
3.67997, 0, 0, 0, 0
3.69996, 0, 0, 0, 0
3.71999, 0, 0, 0, 0
3.74, 0, 0, 0, 0
3.75991, 0, 0, 0, 0
3.77998, 0, 0, 0, 0
3.79997, 0, 0, 0, 0
3.81993, 0, 0, 0, 0
3.83999, 0, 0, 0, 0
3.85997, 0, 0, 0, 0
3.87996, 0, 0, 0, 0
3.89998, 0, 0, 0, 0
3.91996, 0, 0, 0, 0
3.93997, 0, 0, 0, 0
3.95996, 0, 0, 0, 0
3.97995, 0, 0, 0, 0
3.99999, 0, 0, 0, 0
4.01999, 0, 0, 0, 0
4.03996, 0, 0, 0, 0
4.05996, 0, 0, 0, 0
4.07996, 0, 0, 0, 0
4.09998, 0, 0, 0, 0
4.11997, 0, 0, 0, 0
4.13997, 0, 0, 0, 0
4.15997, 0, 0, 0, 0
4.17997, 0, 0, 0, 0
4.19998, 0, 0, 0, 0
4.21998, 0, 0, 0, 0
4.24001, 0, 0, 0, 0
4.2601, 0, 0, 0, 0
4.28002, 0, 0, 0, 0
4.29996, 0, 0, 0, 0
4.31999, 0, 0, 0, 0
4.33997, 0, 0, 0, 0
4.35997, 0, 0, 0, 0
4.37997, 0, 0, 0, 0
4.39999, 0, 0, 0, 0
4.41993, 0, 0, 0, 0
4.43997, 0, 0, 0, 0
4.45996, 0, 0, 0, 0
4.47997, 0, 0, 0, 0
4.50002, 0, 0, 0, 0
4.52, 0, 0, 0, 0
4.53997, 0, 0, 0, 0
4.55997, 0, 0, 0, 0
4.57996, 0, 0, 0, 0
4.60004, 0, 0, 0, 0
4.61998, 0, 0, 0, 0
4.63996, 0, 0, 0, 0
4.65998, 0, 0, 0, 0
4.67996, 0, 0, 0, 0
4.69996, 0, 0, 0, 0
4.71996, 0, 0, 0, 0
4.73997, 0, 0, 0, 0
4.75996, 0, 0, 0, 0
4.78002, 0, 0, 0, 0
4.80004, 0, 0, 0, 0
4.82012, 0, 0, 0, 0
4.84004, 0, 0, 0, 0
4.86004, 0, 0, 0, 0
4.87997, 0, 0, 0, 0
4.9, 0, 0, 0, 0
4.91998, 0, 0, 0, 0
4.93998, 0, 0, 0, 0
4.96001, 0, 0, 0, 0
4.98, 0, 0, 0, 0
5.00002, 0, 0, 0, 0
5.01997, 0, 0, 0, 0
5.04001, 0, 0, 0, 0
5.06014, 0, 0, 0, 0
5.08001, 0, 0, 0, 0
5.09997, 0, 0, 0, 0
5.11998, 0, 0, 0, 0
5.13997, 0, 0, 0, 0
5.15996, 0, 0, 0, 0
5.17995, 0, 0, 0, 0
5.19995, 0, 0, 0, 0
5.22003, 0, 0, 0, 0
5.24002, 0, 0, 0, 0
5.26006, 0, 0, 0, 0
5.28001, 0, 0, 0, 0
5.29996, 0, 0, 0, 0
5.31999, 0, 0, 0, 0
5.33999, 0, 0, 0, 0
5.35998, 0, 0, 0, 0
5.37997, 0, 0, 0, 0
5.39997, 0, 0, 0, 0
5.41996, 0, 0, 0, 0
5.43997, 0, 0, 0, 0
5.45998, 0, 0, 0, 0
5.48002, 0, 0, 0, 0
5.50002, 0, 0, 0, 0
5.5201, 0, 0, 0, 0
5.54001, 0, 0, 0, 0
5.55998, 0, 0, 0, 0
5.57998, 0, 0, 0, 0
5.59997, 0, 0, 0, 0
5.61997, 0, 0, 0, 0
5.63998, 0, 0, 0, 0
5.65996, 0, 0, 0, 0
5.67996, 0, 0, 0, 0
5.69998, 0, 0, 0, 0
5.71997, 0, 0, 0, 0
5.73997, 0, 0, 0, 0
5.75996, 0, 0, 0, 0
5.78, 0, 0, 0, 0
5.79999, 0, 0, 0, 0
5.82, 0, 0, 0, 0
5.83996, 0, 0, 0, 0
5.85996, 0, 0, 0, 0
5.87998, 0, 0, 0, 0
5.89996, 0, 0, 0, 0
5.91997, 0, 0, 0, 0
5.93998, 0, 0, 0, 0
5.95996, 0, 0, 0, 0
5.97996, 0, 0, 0, 0
5.99995, 0, 0, 0, 0
6.01997, 0, 0, 0, 0
6.03997, 0, 0, 0, 0
6.05997, 0, 0, 0, 0
6.07995, 0, 0, 0, 0
6.09997, 0, 0, 0, 0
6.11996, 0, 0, 0, 0
6.13996, 0, 0, 0, 0
6.16, 0, 0, 0, 0
6.17997, 0, 0, 0, 0
6.19999, 0, 0, 0, 0
6.21995, 0, 0, 0, 0
6.23996, 0, 0, 0, 0
6.25996, 0, 0, 0, 0
6.27998, 0, 0, 0, 0
6.30005, 0.233175, 0.46635, 0, 0
6.32012, 0.233175, 0.46635, 0, 0
6.34008, 0.233175, 0.46635, 0, 0
6.35997, 0.233175, 0.46635, 0, 0
6.37997, 0.233175, 0.46635, 0, 0
6.39996, 0.233175, 0.46635, 0, 0
6.41998, 0.233175, 0.46635, 0, 0
6.43996, 0.233175, 0.46635, 0, 0
6.46001, 0.233175, 0.46635, 0, 0
6.47997, 0.233175, 0.46635, 0, 0
6.5, 0.233175, 0.46635, 0, 0
6.52001, 0.233175, 0.46635, 0, 0
6.54004, 0.233175, 0.46635, 0, 0
6.55998, 0.233049, 0, 0.466099, 0.466099
6.57995, 0.233049, 0, 0.466099, 0.466099
6.59998, 0.233049, 0, 0.466099, 0.466099
6.61999, 0.233049, 0, 0.466099, 0.466099
6.63996, 0.233049, 0, 0.466099, 0.466099
6.66006, 0.233049, 0, 0.466099, 0.466099
6.68009, 0.233049, 0, 0.466099, 0.466099
6.70002, 0.233049, 0, 0.466099, 0.466099
6.71998, 0.233049, 0, 0.466099, 0.466099
6.73997, 0.233049, 0, 0.466099, 0.466099
6.75996, 0.233049, 0, 0.466099, 0.466099
6.77999, 0.233049, 0, 0.466099, 0.466099
6.79997, 0.233049, 0, 0.466099, 0.466099
6.81997, 0.466596, 0.466596, 0, 0.233298
6.83999, 0.466596, 0.466596, 0, 0.233298
6.85996, 0.466596, 0.466596, 0, 0.233298
6.87998, 0.466596, 0.466596, 0, 0.233298
6.89998, 0.466596, 0.466596, 0, 0.233298
6.91997, 0.466596, 0.466596, 0, 0.233298
6.93998, 0.466596, 0.466596, 0, 0.233298
6.95998, 0.466596, 0.466596, 0, 0.233298
6.97996, 0.466596, 0.466596, 0, 0.233298
6.99997, 0.466596, 0.466596, 0, 0.233298
7.01997, 0.466596, 0.466596, 0, 0.233298
7.03996, 0.466596, 0.466596, 0, 0.233298
7.05995, 0, 0, 0, 0.233168
7.07998, 0, 0, 0, 0.233168
7.09998, 0, 0, 0, 0.233168
7.11997, 0, 0, 0, 0.233168
7.13998, 0, 0, 0, 0.233168
7.15996, 0, 0, 0, 0.233168
7.17997, 0, 0, 0, 0.233168
7.19998, 0, 0, 0, 0.233168
7.21995, 0, 0, 0, 0.233168
7.24, 0, 0, 0, 0.233168
7.26008, 0, 0, 0, 0.233168
7.28004, 0, 0, 0, 0.233168
7.30003, 0, 0, 0, 0.233168
7.32001, 0.466268, 0.466268, 0.466268, 0.466268
7.33999, 0.466268, 0.466268, 0.466268, 0.466268
7.35993, 0.466268, 0.466268, 0.466268, 0.466268
7.37997, 0.466268, 0.466268, 0.466268, 0.466268
7.39996, 0.466268, 0.466268, 0.466268, 0.466268
7.41997, 0.466268, 0.466268, 0.466268, 0.466268
7.43999, 0.466268, 0.466268, 0.466268, 0.466268
7.45996, 0.466268, 0.466268, 0.466268, 0.466268
7.47998, 0.466268, 0.466268, 0.466268, 0.466268
7.50002, 0.466268, 0.466268, 0.466268, 0.466268
7.52006, 0.466268, 0.466268, 0.466268, 0.466268
7.54003, 0.466268, 0.466268, 0.466268, 0.466268
7.55997, 0.466268, 0.466268, 0.466268, 0.466268
7.57997, 0.466387, 0.466387, 0, 0.466387
7.59995, 0.466387, 0.466387, 0, 0.466387
7.61997, 0.466387, 0.466387, 0, 0.466387
7.63999, 0.466387, 0.466387, 0, 0.466387
7.65997, 0.466387, 0.466387, 0, 0.466387
7.67996, 0.466387, 0.466387, 0, 0.466387
7.7, 0.466387, 0.466387, 0, 0.466387
7.71998, 0.466387, 0.466387, 0, 0.466387
7.73998, 0.466387, 0.466387, 0, 0.466387
7.75996, 0.466387, 0.466387, 0, 0.466387
7.78001, 0.466387, 0.466387, 0, 0.466387
7.79999, 0.466387, 0.466387, 0, 0.466387
7.81998, 0.466387, 0.466387, 0, 0.466387
7.83998, 0.466123, 0.466123, 0.466123, 0
7.85998, 0.466123, 0.466123, 0.466123, 0
7.87999, 0.466123, 0.466123, 0.466123, 0
7.89999, 0.466123, 0.466123, 0.466123, 0
7.91998, 0.466123, 0.466123, 0.466123, 0
7.93996, 0.466123, 0.466123, 0.466123, 0
7.95995, 0.466123, 0.466123, 0.466123, 0
7.98002, 0.466123, 0.466123, 0.466123, 0
7.99999, 0.466123, 0.466123, 0.466123, 0
8.02001, 0.466123, 0.466123, 0.466123, 0
8.03999, 0.466123, 0.466123, 0.466123, 0
8.06001, 0.466123, 0.466123, 0.466123, 0
8.07997, 0.466123, 0.466123, 0.466123, 0
8.1, 0.466514, 0, 0, 0.466514
8.11998, 0.466514, 0, 0, 0.466514
8.13997, 0.466514, 0, 0, 0.466514
8.15999, 0.466514, 0, 0, 0.466514
8.17996, 0.466514, 0, 0, 0.466514
8.19997, 0.466514, 0, 0, 0.466514
8.21996, 0.466514, 0, 0, 0.466514
8.23998, 0.466514, 0, 0, 0.466514
