t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, -0.0143656, -0.0239427, 9.71597, 0.00532648, -0.0010653, -0.00958767, 0.00319367, -0.00224988, -0.100493, 0.99493
0.0119762, 0.0191542, 0.0287313, 9.77343, 0.00319589, -0.00319589, -0.00852238, 0.00319345, -0.00225018, -0.100589, 0.99492
0.0239854, -0.0239427, -0, 9.71118, 0.00745708, -0, -0.00532648, 0.00319323, -0.00225049, -0.100684, 0.994911
0.0299778, 0.0383084, -0.0622511, 9.69681, 0.00532648, -0.00213059, -0.00852238, 0.00319313, -0.00225064, -0.100732, 0.994906
0.04198, 0.0143656, -0.0095771, 9.7016, 0.00532648, 0.0010653, -0.0117183, 0.00319302, -0.0022508, -0.10078, 0.994901
0.0539927, 0.0143656, -0.0670397, 9.73512, 0.00319589, -0.00319589, -0.00745708, 0.00319291, -0.00225095, -0.100827, 0.994896
0.0599983, 0.0143656, 0.0143656, 9.68245, 0.00745708, -0.00213059, -0.00958767, 0.0031927, -0.00225126, -0.100923, 0.994887
0.0719621, 0.0191542, -0.00478855, 9.7016, 0.00532648, -0.00319589, -0.00852238, 0.00319248, -0.00225156, -0.101018, 0.994877
0.0839589, 0.052674, -0.0239427, 9.68245, 0.00745708, -0.00319589, -0.00958767, 0.00323511, -0.00230441, -0.101113, 0.994867
0.089972, 0.0383084, -0, 9.7016, 0.00426119, -0.00213059, -0.00958767, 0.003235, -0.00230456, -0.101161, 0.994862
0.101977, 0.0622511, -0.0383084, 9.72554, 0.00639178, 0.00213059, -0.00745708, 0.00323478, -0.00230487, -0.101256, 0.994852
0.113977, -0.0287313, -0.0191542, 9.73512, 0.00319589, -0, -0.00852238, 0.00323467, -0.00230503, -0.101304, 0.994848
0.119976, 0.0239427, -0.00478855, 9.67766, 0.00639178, 0.00213059, -0.00852238, 0.00323941, -0.00225749, -0.101352, 0.994843
0.131967, -0.0335198, -0.0143656, 9.68724, 0.0010653, -0.00213059, -0.00745708, 0.00323931, -0.00225765, -0.101399, 0.994838
0.143985, -0.0143656, -0.0143656, 9.72076, 0.00213059, -0, -0.010653, 0.00323909, -0.00225796, -0.101495, 0.994828
0.149966, 0, -0.00478855, 9.71597, 0.00426119, -0.00213059, -0.00852238, 0.00319616, -0.00220556, -0.101543, 0.994824
0.161993, 0.0574626, -0.00478855, 9.68724, 0.0010653, 0.00319589, -0.00745708, 0.00319118, -0.0022534, -0.10159, 0.994819
0.173972, 0.0095771, 0.00478855, 9.71118, 0.00745708, -0.00532648, -0.0117183, 0.00319108, -0.00225355, -0.101638, 0.994814
0.179974, 0.0095771, -0.0335198, 9.71597, 0.00639178, 0.0010653, -0.00745708, 0.00323855, -0.00225873, -0.101733, 0.994804
0.191959, 0.0383084, -0.0239427, 9.62498, 0.00426119, -0.00319589, -0.00958767, 0.00323844, -0.00225889, -0.101781, 0.994799
0.203987, 0.0670397, -0.0191542, 9.72076, 0.00532648, 0.00213059, -0.00958767, 0.00323833, -0.00225905, -0.101829, 0.994794
0.209987, 0.00478855, -0, 9.71597, 0.00532648, -0.00532648, -0.010653, 0.00323812, -0.00225936, -0.101924, 0.994784
0.221982, 0, -0.00478855, 9.76385, 0.00319589, 0.00213059, -0.00852238, 0.00323801, -0.00225951, -0.101972, 0.994779
0.233974, -0.00478855, -0.0143656, 9.72076, 0, -0.00532648, -0.0127836, 0.00323779, -0.00225982, -0.102067, 0.99477
0.239984, 0.0430969, -0.052674, 9.67287, 0.00213059, -0, -0.00958767, 0.00318999, -0.00225508, -0.102115, 0.994765
0.251981, 0.0622511, -0.0095771, 9.74949, 0.00639178, -0.00213059, -0.00852238, 0.00318978, -0.00225539, -0.10221, 0.994755
0.263971, -0.0191542, -0.0191542, 9.71118, 0.00319589, -0.0010653, -0.00958767, 0.00318967, -0.00225554, -0.102258, 0.99475
0.269998, 0.0383084, -0.0143656, 9.72554, 0.00639178, -0.00213059, -0.010653, 0.00318466, -0.00230338, -0.102305, 0.994745
0.281975, 0.0335198, -0.0239427, 9.65372, 0.00319589, -0.00426119, -0.00745708, 0.00318455, -0.00230353, -0.102353, 0.99474
0.293975, 0.0143656, -0.0430969, 9.74949, 0.00639178, 0.00319589, -0.0127836, 0.00318444, -0.00230368, -0.102401, 0.994735
0.299981, 0.0287313, 0.0239427, 9.68724, 0.00319589, -0.00213059, -0.00745708, 0.00318422, -0.00230399, -0.102496, 0.994726
0.311986, 0.0430969, -0.0239427, 9.73512, 0.00213059, 0.0010653, -0.00852238, 0.00318411, -0.00230414, -0.102544, 0.994721
0.323974, 0.0670397, -0.0287313, 9.71118, 0.00319589, -0.00319589, -0.00639178, 0.00318399, -0.0023043, -0.102592, 0.994716
0.329973, 0.00478855, -0.0143656, 9.66329, 0.00532648, -0.0010653, -0.00745708, 0.00318399, -0.0023043, -0.102592, 0.994716
0.341968, 0.0430969, -0.0430969, 9.75906, 0, -0.0010653, -0.00745708, 0.00313609, -0.00229968, -0.102687, 0.994706
0.353983, 0.0095771, -0.0143656, 9.65372, 0.00426119, -0.00319589, -0.00852238, 0.00313598, -0.00229983, -0.102735, 0.994701
0.359983, 0.0574626, -0.0335198, 9.68245, 0.00319589, -0, -0.00852238, 0.00313094, -0.00234766, -0.102782, 0.994696
0.371989, 0.0143656, -0.0191542, 9.75428, 0.00532648, -0.00213059, -0.00958767, 0.00313083, -0.00234781, -0.10283, 0.994691
0.383976, -0.0095771, 0.0430969, 9.72076, 0.00319589, -0, -0.010653, 0.00313072, -0.00234796, -0.102878, 0.994686
0.389976, 0.0430969, -0.0239427, 9.77343, 0.00319589, -0.00319589, -0.0127836, 0.0031306, -0.00234811, -0.102925, 0.994681
0.401995, -0.0095771, 0.0143656, 9.72076, 0.00639178, -0, -0.00958767, 0.00313038, -0.00234841, -0.103021, 0.994672
0.413978, 0.0287313, -0.0287313, 9.69681, 0.00319589, -0, -0.00958767, 0.00313027, -0.00234856, -0.103068, 0.994667
0.419973, 0.0143656, -0, 9.69202, 0.00852238, -0.00319589, -0.010653, 0.00317784, -0.00235366, -0.103116, 0.994661
0.431973, 0.0239427, -0, 9.6585, 0.00426119, -0, -0.00958767, 0.00317772, -0.00235381, -0.103164, 0.994657
0.443973, 0.0143656, -0.0143656, 9.71597, 0.00852238, 0.0010653, -0.00745708, 0.00317772, -0.00235381, -0.103164, 0.994657
0.450041, 0.0430969, -0.0143656, 9.73991, 0.010653, -0.00532648, -0.00958767, 0.00322529, -0.00235891, -0.103211, 0.994651
0.462017, -0.0287313, -0.0095771, 9.67287, 0, -0, -0.00852238, 0.00322518, -0.00235906, -0.103259, 0.994646
0.473979, 0.0718282, -0.0143656, 9.73991, 0.00745708, -0, -0.00426119, 0.00322507, -0.00235922, -0.103307, 0.994642
0.479974, -0.0239427, -0, 9.73033, 0.00532648, -0.00213059, -0.00532648, 0.00322495, -0.00235937, -0.103354, 0.994637
0.491976, -0.0095771, -0.0430969, 9.71118, -0.0010653, -0.0010653, -0.00532648, 0.00317716, -0.00235457, -0.103402, 0.994632
0.503989, 0.052674, -0.0574626, 9.72554, 0.0117183, -0, -0.010653, 0.00317705, -0.00235472, -0.10345, 0.994627
