t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, -0.417373, 2.92276, 0.143933, 0.0206557, 0.00981566, 0.558508, 0.0112802, 0.00187077, 0.275669, 0.961184
0.0049746, -0.417345, 2.92252, 0.143849, 0.0219876, 0.0111693, 0.557202, 0.0121053, 0.00234565, 0.275049, 0.961351
0.0100608, -0.417321, 2.92269, 0.144001, 0.0193681, 0.00989417, 0.558626, 0.0106723, 0.00208534, 0.275725, 0.961175
0.0150404, -0.417303, 2.92252, 0.143952, 0.0199745, 0.00946886, 0.557842, 0.0109044, 0.00180162, 0.275347, 0.961281
0.0200124, -0.417334, 2.92264, 0.143949, 0.0173606, 0.008648, 0.558786, 0.00953592, 0.00176242, 0.275796, 0.961167
0.0250256, -0.417331, 2.92262, 0.144003, 0.0224194, 0.0104243, 0.557492, 0.0122107, 0.00192637, 0.275186, 0.961312
0.0299323, -0.417371, 2.9226, 0.143914, 0.0243537, 0.0123352, 0.556534, 0.013402, 0.00258515, 0.274736, 0.961423
0.0349557, -0.417389, 2.92254, 0.143842, 0.0239872, 0.0122566, 0.556811, 0.0132154, 0.00259591, 0.274869, 0.961387
0.0400314, -0.41732, 2.92275, 0.14399, 0.0187964, 0.00930108, 0.558663, 0.0103158, 0.00187893, 0.27574, 0.961175
0.0450251, -0.417388, 2.92256, 0.14381, 0.0251372, 0.0125923, 0.556672, 0.0138141, 0.00260021, 0.274805, 0.961397
0.0500894, -0.417344, 2.92267, 0.143978, 0.0169745, 0.00891929, 0.558602, 0.00938758, 0.00194691, 0.275707, 0.961194
0.0550742, -0.417388, 2.92259, 0.143858, 0.0241147, 0.0122486, 0.556725, 0.0132754, 0.00257511, 0.274828, 0.961398
0.0600996, -0.417384, 2.92247, 0.143789, 0.0219404, 0.0107726, 0.557357, 0.0120282, 0.00216054, 0.275122, 0.961332
0.0649791, -0.417358, 2.92259, 0.143905, 0.0227207, 0.0115349, 0.557103, 0.0125077, 0.00242118, 0.275004, 0.961359
0.0700984, -0.417292, 2.92253, 0.143946, 0.0199935, 0.00946647, 0.557835, 0.0109132, 0.0017979, 0.275344, 0.961282
