t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, -0.57953, 3.19096, 0.145135, 0.0109176, -0.00152482, 0.360813, 0.00523336, -0.00172949, 0.179423, 0.983757
0.00511694, -0.579517, 3.19095, 0.145144, 0.0103698, -0.00157726, 0.360986, 0.00495908, -0.00170657, 0.179508, 0.983742
0.0101759, -0.579492, 3.19103, 0.145185, 0.0121363, -0.00109753, 0.360763, 0.0058712, -0.0016285, 0.179398, 0.983758
0.0149734, -0.579487, 3.191, 0.145275, 0.0109274, -0.00119818, 0.361099, 0.00526728, -0.00157045, 0.179564, 0.983731
0.020015, -0.579521, 3.19099, 0.145234, 0.0123824, -0.000802391, 0.360724, 0.00601874, -0.00150528, 0.17938, 0.98376
0.0250454, -0.579502, 3.19096, 0.145245, 0.010807, -0.00125183, 0.360938, 0.00520338, -0.00158562, 0.179485, 0.983746
0.0299821, -0.579493, 3.19103, 0.145228, 0.0115299, -0.00105713, 0.360737, 0.00557658, -0.00155416, 0.179386, 0.983762
0.0350106, -0.579497, 3.19095, 0.145243, 0.0108553, -0.00115775, 0.360966, 0.00523555, -0.00154375, 0.179499, 0.983743
0.0400531, -0.5795, 3.19094, 0.145187, 0.0100375, -0.00125686, 0.360948, 0.0048244, -0.00151905, 0.17949, 0.983747
0.0449898, -0.579535, 3.19095, 0.145164, 0.0114607, -0.000962085, 0.360633, 0.00555115, -0.00150092, 0.179335, 0.983771
0.0500135, -0.579514, 3.19097, 0.145207, 0.0113712, -0.00103537, 0.360735, 0.00550045, -0.00152921, 0.179385, 0.983762
0.0549898, -0.579531, 3.19101, 0.145192, 0.0128313, -0.000482216, 0.360594, 0.00626837, -0.00138765, 0.179317, 0.98377
0.0600109, -0.579513, 3.19095, 0.145184, 0.00988089, -0.00138981, 0.360914, 0.00473548, -0.00157032, 0.179474, 0.98375
0.0649936, -0.579529, 3.19094, 0.145177, 0.0109956, -0.00115693, 0.360716, 0.00530481, -0.00155527, 0.179376, 0.983765
0.0700324, -0.579474, 3.19101, 0.14527, 0.0114637, -0.00105076, 0.360858, 0.00554447, -0.00154542, 0.179446, 0.983751
0.0750201, -0.57952, 3.19093, 0.145132, 0.00974804, -0.00179895, 0.360992, 0.00463335, -0.00175982, 0.179511, 0.983743
0.0799744, -0.579511, 3.19098, 0.145159, 0.0112719, -0.00146399, 0.360778, 0.00541316, -0.00173126, 0.179405, 0.983759
0.0850179, -0.57955, 3.191, 0.145113, 0.013087, -0.000838438, 0.360413, 0.00636236, -0.00158522, 0.179226, 0.983786
0.0901327, -0.579526, 3.19095, 0.145159, 0.0106276, -0.00160312, 0.360939, 0.00508359, -0.0017423, 0.179485, 0.983746
0.0949953, -0.579503, 3.19103, 0.145194, 0.0124466, -0.00119171, 0.360669, 0.00601547, -0.00170237, 0.179351, 0.983765
0.100078, -0.579538, 3.19096, 0.145167, 0.0112121, -0.00154268, 0.360881, 0.00537659, -0.00176488, 0.179456, 0.98375
0.105047, -0.579532, 3.191, 0.145172, 0.0120754, -0.00127644, 0.360772, 0.00582522, -0.00171107, 0.179402, 0.983757
0.110016, -0.579544, 3.19095, 0.14513, 0.0115649, -0.00127722, 0.360747, 0.00557405, -0.00166559, 0.17939, 0.983761
0.114994, -0.579516, 3.19097, 0.145213, 0.0111684, -0.00105644, 0.360869, 0.00539872, -0.00152175, 0.179451, 0.983751
0.12003, -0.579535, 3.19091, 0.145114, 0.0099903, -0.00172042, 0.360896, 0.00475964, -0.00174271, 0.179464, 0.983752
0.12495, -0.579506, 3.19103, 0.145149, 0.0116775, -0.00121233, 0.360786, 0.00563519, -0.00164388, 0.17941, 0.983757
0.130046, -0.57952, 3.191, 0.145169, 0.0117177, -0.00137771, 0.360739, 0.00564018, -0.00172869, 0.179386, 0.983761
0.134995, -0.579513, 3.191, 0.145164, 0.0118996, -0.00112866, 0.360781, 0.00575196, -0.00162263, 0.179407, 0.983757
0.140007, -0.579507, 3.19101, 0.145172, 0.0121745, -0.00114426, 0.360634, 0.00588592, -0.00165453, 0.179335, 0.983769
0.144989, -0.579518, 3.19099, 0.14513, 0.0108628, -0.00146333, 0.360793, 0.00521195, -0.00169427, 0.179413, 0.983759
0.150035, -0.579516, 3.19102, 0.14516, 0.0115245, -0.00132116, 0.360857, 0.00555012, -0.00168388, 0.179444, 0.983751
0.15504, -0.579494, 3.19102, 0.145149, 0.011754, -0.00100566, 0.360745, 0.0056914, -0.00154896, 0.17939, 0.98376
0.159965, -0.579498, 3.19101, 0.145192, 0.0104981, -0.00173408, 0.361048, 0.00500803, -0.00179537, 0.179538, 0.983737
0.165038, -0.579502, 3.19104, 0.145145, 0.0121343, -0.00102201, 0.360656, 0.00587711, -0.00159087, 0.179346, 0.983767
0.170102, -0.579548, 3.19095, 0.145112, 0.0111791, -0.00138875, 0.360748, 0.00537425, -0.00168584, 0.179391, 0.983762
0.17498, -0.579488, 3.19096, 0.145173, 0.0099857, -0.00167623, 0.361052, 0.00476121, -0.00172093, 0.179541, 0.983738
0.180036, -0.579521, 3.19099, 0.145138, 0.0110904, -0.00140915, 0.360871, 0.00532871, -0.00168825, 0.179452, 0.983751
0.18502, -0.579509, 3.19096, 0.145158, 0.0101163, -0.00172389, 0.36105, 0.00482119, -0.0017561, 0.17954, 0.983737
0.18996, -0.579492, 3.19096, 0.145193, 0.0105553, -0.00163804, 0.360999, 0.00504488, -0.00175315, 0.179514, 0.983741
0.195019, -0.57951, 3.19101, 0.145158, 0.0112324, -0.00155161, 0.360717, 0.00538589, -0.00177065, 0.179375, 0.983764
0.200035, -0.579521, 3.19102, 0.14515, 0.0119342, -0.00113178, 0.360782, 0.00576872, -0.00162728, 0.179408, 0.983757
0.204961, -0.579502, 3.19097, 0.145127, 0.0118446, -0.00146101, 0.361156, 0.00569479, -0.00178224, 0.179591, 0.983723
0.210015, -0.579517, 3.19093, 0.145115, 0.0114125, -0.00165222, 0.361184, 0.00546502, -0.00183756, 0.179604, 0.983722
0.215041, -0.579498, 3.19103, 0.145159, 0.0121664, -0.00102579, 0.360654, 0.00589253, -0.00159559, 0.179345, 0.983767
0.220031, -0.579502, 3.1909, 0.145097, 0.0114993, -0.00147878, 0.360959, 0.00552349, -0.00175943, 0.179494, 0.983742
0.225019, -0.57951, 3.19095, 0.145105, 0.0123015, -0.00120457, 0.361031, 0.00594264, -0.00169677, 0.179529, 0.983733
0.23005, -0.579505, 3.19095, 0.145127, 0.01032, -0.00152744, 0.360783, 0.00493925, -0.0016771, 0.179408, 0.983761
0.235104, -0.579512, 3.19093, 0.145142, 0.0127703, -0.00127824, 0.36099, 0.00616666, -0.00177496, 0.179509, 0.983735
0.239973, -0.579495, 3.19089, 0.145121, 0.010614, -0.00184132, 0.361148, 0.00505536, -0.00185878, 0.179587, 0.983727
0.245073, -0.579521, 3.19098, 0.145099, 0.0141699, -0.000685547, 0.360682, 0.00690851, -0.00160799, 0.179358, 0.983758
0.25008, -0.579488, 3.19093, 0.14511, 0.0112496, -0.00149318, 0.361033, 0.00539931, -0.0017443, 0.17953, 0.983736
0.254957, -0.57948, 3.19099, 0.145134, 0.0119154, -0.00145908, 0.361029, 0.00572989, -0.00178729, 0.179528, 0.983735
0.260048, -0.579508, 3.19092, 0.145158, 0.0118964, -0.00105546, 0.360984, 0.00575679, -0.00158692, 0.179507, 0.983739
0.265006, -0.579506, 3.19092, 0.145124, 0.0118382, -0.000989561, 0.360831, 0.00573422, -0.00154885, 0.179432, 0.983752
0.270018, -0.57949, 3.19098, 0.145171, 0.0125132, -0.000829375, 0.36093, 0.00608055, -0.00153092, 0.179481, 0.983741
0.274996, -0.57952, 3.1909, 0.145142, 0.0116068, -0.00111855, 0.361029, 0.00560866, -0.00159209, 0.17953, 0.983735
0.280007, -0.579504, 3.19103, 0.145232, 0.011754, -0.000978189, 0.360779, 0.00569384, -0.00153555, 0.179407, 0.983757
0.284966, -0.57953, 3.19098, 0.145204, 0.0119199, -0.000947806, 0.36065, 0.0057783, -0.00153512, 0.179343, 0.983768
0.289989, -0.579467, 3.191, 0.145273, 0.0101431, -0.0015148, 0.361046, 0.00485312, -0.00165565, 0.179538, 0.983738
0.295007, -0.579492, 3.1909, 0.145173, 0.0111442, -0.0013548, 0.361088, 0.00535985, -0.00166693, 0.179558, 0.983731
0.30009, -0.579485, 3.19094, 0.145192, 0.0109612, -0.00146431, 0.361214, 0.00525991, -0.00170469, 0.17962, 0.983721
0.304969, -0.579502, 3.1909, 0.145166, 0.0109635, -0.00136283, 0.361202, 0.00527015, -0.00165495, 0.179614, 0.983722
0.310038, -0.579494, 3.19094, 0.14516, 0.0118685, -0.00106895, 0.360946, 0.0057419, -0.00159095, 0.179489, 0.983742
0.315051, -0.579488, 3.19094, 0.145166, 0.0109477, -0.00134281, 0.361184, 0.00526421, -0.00164364, 0.179606, 0.983723
0.320001, -0.579498, 3.19096, 0.145195, 0.0122973, -0.000973488, 0.361146, 0.00596123, -0.00158307, 0.179587, 0.983723
0.325113, -0.579473, 3.19092, 0.14517, 0.0107868, -0.00139592, 0.361034, 0.00518043, -0.00165493, 0.179532, 0.983737
0.330152, -0.579511, 3.1909, 0.145076, 0.0116438, -0.00143595, 0.360876, 0.00559849, -0.0017511, 0.179453, 0.983749
0.335016, -0.579498, 3.19093, 0.145178, 0.0116939, -0.00119812, 0.361035, 0.00564436, -0.00163907, 0.179532, 0.983735
0.340011, -0.579472, 3.19098, 0.145197, 0.011816, -0.00108002, 0.361108, 0.00571495, -0.00159214, 0.179568, 0.983728
0.345053, -0.579497, 3.19095, 0.14521, 0.0125571, -0.00102299, 0.360997, 0.00608466, -0.00163029, 0.179513, 0.983735
0.35003, -0.579483, 3.19096, 0.145203, 0.0114834, -0.00124667, 0.36122, 0.00553631, -0.00164456, 0.179623, 0.983719
0.354989, -0.579507, 3.19097, 0.145184, 0.0120829, -0.00118007, 0.361071, 0.00583726, -0.00166521, 0.17955, 0.98373
0.360002, -0.579525, 3.19098, 0.145187, 0.0116755, -0.000865712, 0.360701, 0.00566538, -0.00147296, 0.179369, 0.983765
0.365008, -0.579485, 3.19088, 0.145202, 0.0100201, -0.00170666, 0.361407, 0.00477509, -0.00173984, 0.179715, 0.983706
0.369973, -0.579515, 3.19087, 0.145158, 0.0106853, -0.00149142, 0.361242, 0.00512174, -0.00169332, 0.179634, 0.983719
0.374989, -0.579505, 3.19092, 0.145115, 0.0114503, -0.00161982, 0.361082, 0.00548664, -0.00182475, 0.179554, 0.983731
0.380054, -0.5795, 3.19094, 0.145126, 0.0121779, -0.00139955, 0.360959, 0.00586438, -0.00178136, 0.179494, 0.98374
0.384981, -0.57948, 3.19095, 0.145153, 0.0120875, -0.00152199, 0.360907, 0.00580898, -0.00183332, 0.179468, 0.983745
0.390004, -0.579546, 3.19096, 0.145173, 0.0115355, -0.000992933, 0.360673, 0.00558516, -0.00152291, 0.179355, 0.983767
