t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 3.58738, 1.19619, 0.147154, 0.0365063, 0.0163197, 0.475501, 0.0196596, 0.00363034, 0.235614, 0.971641
0.00500751, 3.58736, 1.1962, 0.147166, 0.0357566, 0.0161393, 0.47546, 0.0192741, 0.00363142, 0.235592, 0.971654
0.00992537, 3.58738, 1.19616, 0.147153, 0.0358289, 0.0160517, 0.475744, 0.0192994, 0.00357763, 0.235729, 0.971621
0.0149257, 3.58738, 1.19618, 0.147213, 0.0359762, 0.0163342, 0.475641, 0.019404, 0.00369848, 0.235682, 0.971629
0.0201068, 3.58735, 1.19615, 0.1472, 0.0356731, 0.0162421, 0.47583, 0.0192463, 0.00368763, 0.235773, 0.971611
0.0250599, 3.58735, 1.1962, 0.147162, 0.036322, 0.0162954, 0.475489, 0.0195671, 0.00364041, 0.235608, 0.971644
0.0299418, 3.58738, 1.19621, 0.147166, 0.0360213, 0.0161396, 0.475426, 0.0194026, 0.00360073, 0.235576, 0.971656
0.0349908, 3.58734, 1.19621, 0.147159, 0.0359322, 0.0162995, 0.475344, 0.019378, 0.00368969, 0.235537, 0.971665
0.0399945, 3.58735, 1.19618, 0.147169, 0.036003, 0.0161936, 0.475585, 0.0194004, 0.00362758, 0.235654, 0.971637
0.0449417, 3.58734, 1.19615, 0.147183, 0.0357223, 0.0163947, 0.475608, 0.0192877, 0.00375814, 0.235666, 0.971635
0.049989, 3.58736, 1.19614, 0.147161, 0.0358671, 0.0162993, 0.475722, 0.0193471, 0.00369361, 0.235721, 0.971621
0.0549324, 3.58737, 1.19619, 0.147158, 0.0361397, 0.0162835, 0.475561, 0.0194773, 0.00365538, 0.235643, 0.971638
0.059978, 3.58738, 1.1962, 0.147148, 0.0359712, 0.01611, 0.475624, 0.0193751, 0.00359033, 0.235672, 0.971633
0.0648921, 3.58736, 1.19619, 0.1472, 0.0356977, 0.0162833, 0.475577, 0.0192626, 0.00370718, 0.23565, 0.97164
0.0700383, 3.58735, 1.19617, 0.147194, 0.0359274, 0.0163425, 0.475711, 0.0193814, 0.00370763, 0.235716, 0.971622
0.0749526, 3.58736, 1.19615, 0.147215, 0.036298, 0.016712, 0.475724, 0.019605, 0.00384331, 0.235726, 0.971614
