t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, -0.024705, 1.75514, 0.144032, 0.00534806, 0.000304066, -0.105318, 0.00266232, 0.000292568, -0.0526341, 0.99861
0.00499654, -0.0246504, 1.75533, 0.14408, 0.00745499, 9.7169e-05, -0.106083, 0.00371967, 0.000246134, -0.053016, 0.998587
0.00991845, -0.0246723, 1.75529, 0.144094, 0.00681387, 0.000134665, -0.106179, 0.00339856, 0.000248025, -0.0530642, 0.998585
0.0149968, -0.0247291, 1.75525, 0.144013, 0.0052664, 0.000357269, -0.105577, 0.0026201, 0.000317323, -0.0527633, 0.998604
0.0199311, -0.0246947, 1.75524, 0.144024, 0.00589012, 0.000507499, -0.105848, 0.00292751, 0.000409184, -0.0528982, 0.998596
0.0249383, -0.0246576, 1.75523, 0.144036, 0.00559701, 0.00023049, -0.105704, 0.0027885, 0.000262921, -0.0528268, 0.9986
0.0300064, -0.0246528, 1.75533, 0.144054, 0.00938078, -0.000596778, -0.105803, 0.00469959, -4.99562e-05, -0.0528776, 0.99859
0.0349674, -0.0246641, 1.75527, 0.144036, 0.00829778, -0.000281598, -0.105894, 0.00415051, 7.89675e-05, -0.0529224, 0.99859
0.0399406, -0.0246921, 1.75524, 0.14403, 0.00774089, 0.000207391, -0.106355, 0.00385945, 0.000309272, -0.0531518, 0.998579
0.044982, -0.0246612, 1.75529, 0.144039, 0.00904083, 2.21922e-05, -0.106494, 0.0045134, 0.000251664, -0.0532212, 0.998573
0.0499544, -0.0246435, 1.75528, 0.144142, 0.00485282, 0.000489313, -0.105696, 0.0024101, 0.000372485, -0.0528224, 0.998601
0.054934, -0.0246863, 1.75525, 0.144045, 0.00557474, 6.37658e-05, -0.105317, 0.00278182, 0.000178549, -0.052634, 0.99861
0.0599952, -0.02472, 1.75525, 0.144018, 0.00649155, 0.00014303, -0.105827, 0.00323745, 0.000243079, -0.0528881, 0.998595
0.0650368, -0.0246866, 1.75525, 0.144034, 0.00697023, 0.000289155, -0.106044, 0.00347255, 0.000329074, -0.0529963, 0.998589
0.0699565, -0.0246829, 1.75526, 0.144062, 0.00655754, 9.76054e-05, -0.105554, 0.00327162, 0.000221698, -0.0527522, 0.998602
0.0749977, -0.024643, 1.75536, 0.144055, 0.00862368, -0.000218932, -0.106198, 0.00431156, 0.000119536, -0.0530742, 0.998581
0.0799921, -0.0246676, 1.75529, 0.144084, 0.00731643, -4.52843e-06, -0.105912, 0.0036532, 0.000191373, -0.052931, 0.998591
0.0850248, -0.0246809, 1.75529, 0.144077, 0.00649825, 0.000234502, -0.105915, 0.00323836, 0.000289071, -0.0529322, 0.998593
0.0899706, -0.0246438, 1.75525, 0.144063, 0.00668574, -6.80586e-05, -0.105843, 0.00333998, 0.000142846, -0.0528967, 0.998594
0.0950327, -0.0246758, 1.7552, 0.144031, 0.00564698, 0.000147301, -0.105575, 0.00281567, 0.000222523, -0.0527626, 0.998603
0.0999658, -0.0246256, 1.75529, 0.144066, 0.00873791, -0.000149462, -0.106089, 0.00436676, 0.000157014, -0.0530194, 0.998584
0.104978, -0.0246662, 1.75524, 0.144019, 0.00720855, -3.70534e-05, -0.105738, 0.00360021, 0.000171965, -0.0528441, 0.998596
0.110001, -0.0246711, 1.75525, 0.144034, 0.00671764, 0.000428212, -0.106157, 0.00334272, 0.000392, -0.0530525, 0.998586
0.115072, -0.0247088, 1.75524, 0.144073, 0.00622358, 0.000436717, -0.105809, 0.00309589, 0.000382603, -0.0528791, 0.998596
0.119942, -0.0246787, 1.75515, 0.144047, 0.00412218, 0.00096771, -0.105911, 0.00203259, 0.000592271, -0.0529296, 0.998596
0.125006, -0.024641, 1.75532, 0.144054, 0.00897328, -0.00017053, -0.106019, 0.00448484, 0.000152577, -0.0529844, 0.998585
0.130018, -0.0246926, 1.75524, 0.144028, 0.00649753, 0.000416251, -0.106026, 0.00323317, 0.000379978, -0.0529871, 0.99859
0.134928, -0.0246684, 1.75526, 0.144025, 0.00793622, -0.000194199, -0.105864, 0.00396768, 0.000112979, -0.0529074, 0.998592
