t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 3.69147, 0.93814, 0.181623, 0.0260727, -0.00709439, 0.661601, 0.0111771, -0.00758865, 0.324727, 0.945711
0.009969, 3.69366, 0.940073, 0.18164, 0.0261063, -0.00673106, 0.665522, 0.0112374, -0.00744435, 0.326583, 0.945073
0.0199585, 3.69604, 0.942268, 0.181653, 0.0264959, -0.00688241, 0.67001, 0.0113797, -0.00760503, 0.3287, 0.944335
0.0297868, 3.69859, 0.944687, 0.181614, 0.0268075, -0.00657474, 0.674369, 0.0115611, -0.00753621, 0.330758, 0.943615
0.0397794, 3.70134, 0.947272, 0.181643, 0.0266528, -0.00661286, 0.679421, 0.0114627, -0.00755758, 0.333141, 0.942777
0.0549304, 3.70576, 0.951743, 0.181623, 0.0265653, -0.0063738, 0.687072, 0.0114328, -0.0074741, 0.336747, 0.941496
0.0599589, 3.70729, 0.953353, 0.181733, 0.0252849, -0.00723492, 0.690046, 0.0106736, -0.00767977, 0.338146, 0.941002
0.0749698, 3.71217, 0.958446, 0.181796, 0.0243566, -0.00703717, 0.698422, 0.0102391, -0.00747271, 0.342089, 0.939582
0.0850863, 3.71557, 0.962045, 0.18178, 0.0247608, -0.00635031, 0.704222, 0.0105255, -0.00724974, 0.344815, 0.938584
0.094769, 3.71909, 0.965792, 0.181829, 0.0247787, -0.00594682, 0.71048, 0.0105813, -0.00709662, 0.347753, 0.9375
0.104876, 3.72268, 0.969692, 0.181826, 0.0256277, -0.00537248, 0.716673, 0.0110575, -0.0070093, 0.350654, 0.936413
0.114962, 3.72649, 0.973728, 0.18188, 0.025796, -0.00477881, 0.72351, 0.0112173, -0.00679924, 0.353857, 0.935208
0.124942, 3.73104, 0.980676, 0.182416, 0.0299197, -0.00868449, 0.744619, 0.0123549, -0.00948594, 0.363663, 0.9314
0.134952, 3.73496, 0.985047, 0.182463, 0.0301371, -0.00727353, 0.750705, 0.0126857, -0.00890706, 0.366505, 0.930287
0.144924, 3.73898, 0.989532, 0.182414, 0.0318981, -0.00544805, 0.757537, 0.0138108, -0.00842794, 0.369688, 0.929015
0.154861, 3.74315, 0.994223, 0.182411, 0.0324146, -0.0043421, 0.765028, 0.0142251, -0.00806304, 0.373171, 0.927618
0.164909, 3.7474, 0.999115, 0.182344, 0.0332455, -0.00360353, 0.77257, 0.0147185, -0.0079311, 0.376669, 0.926197
0.174993, 3.75169, 1.00426, 0.182336, 0.0330486, -0.0034317, 0.780449, 0.0146287, -0.00787214, 0.380318, 0.924707
0.184933, 3.75609, 1.0095, 0.182257, 0.0330694, -0.00347327, 0.788615, 0.0145981, -0.00795497, 0.384089, 0.923146
0.19507, 3.76058, 1.01502, 0.182255, 0.0346926, -0.00224217, 0.797002, 0.0155513, -0.00776376, 0.387961, 0.921512
0.204896, 3.76515, 1.02073, 0.182359, 0.0334281, -0.00250931, 0.805958, 0.0148825, -0.00770827, 0.392086, 0.919776
0.219795, 3.77216, 1.02976, 0.18247, 0.0327554, -0.00180626, 0.819852, 0.0146603, -0.0073551, 0.398474, 0.917033
0.229731, 3.77692, 1.0359, 0.182589, 0.0314062, -0.00192613, 0.829457, 0.0139833, -0.00720848, 0.402878, 0.915119
0.239961, 3.78176, 1.04216, 0.182549, 0.0326353, -0.00108719, 0.839234, 0.0146799, -0.00714405, 0.407348, 0.913127
0.249934, 3.7867, 1.04848, 0.182579, 0.0332505, -2.015e-05, 0.849425, 0.0151434, -0.00685945, 0.412002, 0.911031
0.25981, 3.79164, 1.05504, 0.182607, 0.0331167, 0.000866169, 0.859735, 0.0152317, -0.00650674, 0.4167, 0.908893
0.269801, 3.79673, 1.06179, 0.182642, 0.0330407, 0.00144053, 0.870621, 0.0152826, -0.00631316, 0.421645, 0.90661
0.279776, 3.80181, 1.0687, 0.182636, 0.0343673, 0.00348218, 0.881259, 0.016284, -0.00575405, 0.426472, 0.904336
0.289937, 3.8068, 1.07576, 0.182539, 0.0345152, 0.00325453, 0.892494, 0.016269, -0.00598, 0.431543, 0.901926
0.299771, 3.81186, 1.08293, 0.182499, 0.034764, 0.00342452, 0.904163, 0.0163828, -0.00605273, 0.436799, 0.899389
0.309959, 3.81684, 1.09028, 0.182357, 0.0361095, 0.00452724, 0.915442, 0.0171955, -0.00594776, 0.441868, 0.896895
0.319793, 3.82174, 1.09795, 0.182463, 0.035921, 0.00407284, 0.926579, 0.0169763, -0.00620453, 0.446853, 0.894425
0.329757, 3.82671, 1.10581, 0.182487, 0.0359372, 0.00398576, 0.938355, 0.016927, -0.00634687, 0.452111, 0.891778
0.339948, 3.83176, 1.1139, 0.182609, 0.0356616, 0.00455894, 0.950456, 0.0168969, -0.00613132, 0.457503, 0.889026
0.349975, 3.83679, 1.12221, 0.182632, 0.0361083, 0.00553779, 0.962858, 0.017283, -0.00590565, 0.463013, 0.886163
0.359914, 3.84193, 1.13065, 0.182524, 0.0364267, 0.00605726, 0.975498, 0.0175076, -0.00585994, 0.468607, 0.883214
0.374942, 3.84936, 1.14367, 0.182576, 0.0355299, 0.00674135, 0.994972, 0.0172189, -0.00551562, 0.477192, 0.878613
0.379757, 3.85183, 1.14805, 0.182512, 0.036583, 0.00760626, 1.00157, 0.01787, -0.00544586, 0.48009, 0.87702
0.39501, 3.85924, 1.16134, 0.182648, 0.036352, 0.00820323, 1.02172, 0.0178594, -0.00530882, 0.488907, 0.872137
0.404961, 3.86399, 1.17046, 0.182791, 0.0367676, 0.00885639, 1.03523, 0.0181652, -0.00524847, 0.494793, 0.868805
0.414947, 3.86868, 1.17977, 0.182871, 0.0363478, 0.0087187, 1.04881, 0.0179131, -0.00532609, 0.500678, 0.865432
0.424932, 3.87345, 1.18926, 0.182784, 0.0358152, 0.00913586, 1.06304, 0.0177509, -0.0051387, 0.506829, 0.861849
0.435038, 3.87813, 1.19907, 0.182729, 0.0348347, 0.00961761, 1.07685, 0.0174177, -0.00480301, 0.512774, 0.858334
0.444798, 3.88201, 1.21073, 0.183177, 0.0339286, 0.00928352, 1.0845, 0.016925, -0.0047788, 0.51605, 0.856378
0.454799, 3.88641, 1.22056, 0.183348, 0.0332157, 0.00999597, 1.09876, 0.0167725, -0.00440948, 0.522149, 0.852678
0.464974, 3.89066, 1.23075, 0.183415, 0.0334221, 0.0100844, 1.11285, 0.016852, -0.00454456, 0.528146, 0.848974
0.474945, 3.89493, 1.24112, 0.183551, 0.0329586, 0.00984774, 1.1279, 0.0165583, -0.00464736, 0.53452, 0.844981
0.485044, 3.89905, 1.25175, 0.18362, 0.0325922, 0.0104068, 1.14231, 0.0165214, -0.0044323, 0.540595, 0.841109
0.494926, 3.903, 1.26252, 0.183698, 0.0310676, 0.0106468, 1.15684, 0.0159161, -0.00403504, 0.546699, 0.837168
0.504793, 3.90679, 1.27347, 0.183708, 0.0304961, 0.01052, 1.17157, 0.0156129, -0.00404696, 0.552847, 0.833126
0.514946, 3.91045, 1.28452, 0.183704, 0.0301258, 0.0101664, 1.18642, 0.0153301, -0.00420591, 0.559018, 0.829003
0.52492, 3.91392, 1.29583, 0.183694, 0.0300773, 0.0114218, 1.2008, 0.015634, -0.00378439, 0.564969, 0.824955
0.534888, 3.91735, 1.30721, 0.183498, 0.0307621, 0.0117035, 1.21575, 0.0159667, -0.00398112, 0.571121, 0.820701
0.544894, 3.92056, 1.31877, 0.183427, 0.02976, 0.0108831, 1.23071, 0.0152907, -0.00414613, 0.577242, 0.816419
