t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 4.40852, 4.32103, 0.196231, 0.0170379, 0.0121902, 2.13344, 0.00945128, -0.00451537, 0.875599, 0.482925
0.014946, 4.4085, 4.32104, 0.196243, 0.0172147, 0.0116709, 2.13347, 0.00926657, -0.00471829, 0.875604, 0.482918
0.0249186, 4.40849, 4.32103, 0.196222, 0.0172801, 0.0117805, 2.13346, 0.00933038, -0.00472041, 0.875603, 0.482919
0.0348904, 4.4085, 4.32105, 0.196227, 0.0172257, 0.0119398, 2.13344, 0.00938703, -0.004658, 0.875597, 0.482928
0.0450411, 4.40852, 4.32103, 0.196221, 0.016984, 0.0121493, 2.13342, 0.00942041, -0.00450154, 0.875594, 0.482935
0.0549984, 4.40852, 4.32103, 0.196268, 0.0170544, 0.0118584, 2.13344, 0.00931004, -0.0046027, 0.875598, 0.482929
0.0648561, 4.40853, 4.32103, 0.196224, 0.0170728, 0.0119405, 2.13361, 0.00934999, -0.00459176, 0.87564, 0.482852
0.0747881, 4.4085, 4.32103, 0.196237, 0.0171727, 0.0119075, 2.13343, 0.00936011, -0.00464256, 0.875595, 0.482934
0.0848026, 4.40849, 4.32103, 0.196222, 0.0172802, 0.0117789, 2.13346, 0.00932969, -0.00472083, 0.875603, 0.482919
0.0949526, 4.40852, 4.32104, 0.196247, 0.0171351, 0.0116354, 2.13364, 0.00923139, -0.0046928, 0.875646, 0.482843
0.104874, 4.4085, 4.32102, 0.196208, 0.0171972, 0.0116788, 2.13359, 0.00926551, -0.00470928, 0.875635, 0.482862
0.115119, 4.40852, 4.32104, 0.196239, 0.0172614, 0.0119537, 2.13354, 0.00940147, -0.00467076, 0.875621, 0.482884
0.124896, 4.4085, 4.32101, 0.196221, 0.0171398, 0.0120389, 2.13356, 0.00940939, -0.00459707, 0.875627, 0.482874
0.134984, 4.4085, 4.32103, 0.196217, 0.0171843, 0.0117773, 2.13357, 0.0093056, -0.00467974, 0.875629, 0.482872
0.145034, 4.4085, 4.32103, 0.196221, 0.0173402, 0.0115457, 2.1335, 0.00924198, -0.00480362, 0.875613, 0.482901
0.15492, 4.40852, 4.32104, 0.196224, 0.017304, 0.011583, 2.13358, 0.00924939, -0.00477912, 0.875631, 0.482868
0.169864, 4.40851, 4.32103, 0.196272, 0.0171105, 0.0116249, 2.13355, 0.00922109, -0.00468419, 0.875626, 0.48288
0.174857, 4.40849, 4.32102, 0.196234, 0.0170898, 0.0119622, 2.13342, 0.00936403, -0.00459303, 0.875593, 0.482936
0.190008, 4.40852, 4.32102, 0.196243, 0.0172051, 0.0117621, 2.13348, 0.00930416, -0.00469211, 0.875607, 0.482912
0.200028, 4.40851, 4.32103, 0.196249, 0.0172189, 0.0117866, 2.13342, 0.00931837, -0.00469197, 0.875593, 0.482936
0.210006, 4.4085, 4.32102, 0.196233, 0.0172507, 0.0114295, 2.13356, 0.00916936, -0.00479281, 0.875628, 0.482875
